Lambda,acc,acc_theory,mse_krr,mse_lrr,mse_nn,theory_mse_list
0.29,1.0,0.9998,39.832259654124755,31.742712673065437,49.03675900307187,31.840903085873748
0.3,0.989,0.9881,37.865882376607786,29.87155383672052,35.727296644205055,29.91674337520516
0.31,0.988,0.9918,35.67604876151013,29.7691542981174,43.592667471880645,29.848851285084564
0.32,0.9995,0.9993,37.28180290635537,26.63965977946613,38.02255623600709,26.59419072141901
0.33,0.9995,0.9998,37.874591530997435,30.278219350341637,40.5241612688815,30.32307136654235
0.34,0.993,0.9947,41.324425289695746,31.180894518097563,57.26418708782377,31.16320101116353
0.35,0.9995,0.9995,38.43997065764292,28.761164809613376,42.70274806039644,28.751625823556992
0.36,1.0,1.0,63.6727824585812,30.916245337754386,44.21460361528685,30.84222066875558
0.37,0.988,0.9901,43.643102574888765,28.55153937396759,46.155559124517175,28.62778470242889
0.38,0.982,0.9863,40.19576647503114,31.14543413063857,50.23276811432117,31.224231520976
0.39,1.0,0.9997,43.2473075846035,27.78114745878368,51.05937681772756,27.86892548957317
0.4,1.0,1.0,39.99414711738032,29.73967628195612,42.00566199629796,29.705944908656633
0.41,1.0,1.0,31.05291386803399,25.875784747606136,36.39810272494889,25.947718726003263
0.42,0.9975,0.9976,42.07753287180927,30.92308956131196,45.483271133062445,30.966084994365104
0.43,1.0,1.0,53.37017457853048,35.10346026253153,51.0024819933164,35.14414491704772
0.44,0.9785,0.9782,43.01047200463998,32.64640600153439,49.829238234555554,32.63080611901256
0.45,0.9935,0.9949,51.26941843910394,39.01116923735601,47.86019554842386,39.04889578228628
0.46,1.0,1.0,43.33611673295926,31.916255260043663,54.06146626746576,31.971120747644235
0.47,1.0,1.0,39.7669639719173,28.068997566939437,43.64325909081365,28.138333699752433
0.48,1.0,1.0,45.275436689724664,34.62644081109608,49.02851651102837,34.647816750688094
0.49,1.0,1.0,50.13798901842105,36.381764009588004,54.657790688328305,36.43806731783019
0.5,0.9935,0.9901,40.01532506043088,31.162048174689726,47.5713798676364,31.15453006525383
0.51,1.0,1.0,41.47290712377829,32.147849602679514,48.83689537149079,32.32363682898361
0.52,1.0,1.0,50.89244247857549,28.39685775475713,50.52134980534261,28.490309541513547
0.53,0.994,0.9934,37.3980894972961,30.852148438997467,44.67716693147401,30.851703142492685
0.54,0.976,0.9749,34.57756025470981,26.195786027371252,40.47102280306993,26.315391599727906
0.55,1.0,0.9999,41.988734121089394,30.39950053714509,49.9515145812285,30.559259585817173
0.56,0.998,0.9988,35.824258380809695,28.618898985072356,48.5088321153076,28.789313899519684
0.57,1.0,1.0,50.90136808174556,28.82367980283212,49.60038376536089,28.92136965798401
0.58,0.985,0.9856,39.52151936551392,26.75037189901953,45.54877354640346,26.760080010508766
0.59,1.0,1.0,40.83931178872811,32.77663803665273,44.17038265174702,32.816071952340074
0.6,0.982,0.9857,35.97015572265835,27.79652862052637,43.51329289140491,27.676706234035144
0.61,0.9965,0.9976,42.721574382400895,35.25091057371134,44.6186969103125,35.23631151973254
0.62,1.0,0.9998,43.65493562666738,33.60807142083315,42.69996750881272,33.626119821405666
0.63,0.9995,0.9997,37.675126037086756,31.21450098600155,48.672774513142016,31.17328584975425
0.64,1.0,0.9997,39.75333713830387,28.146708898821828,46.821395479026435,28.29100920134351
0.65,1.0,0.9999,46.644768770581855,32.23944944697648,39.56887773897686,32.38477431931621
0.66,0.998,0.9991,33.485901731313035,25.66346509299577,32.62453674847872,25.64101048899832
0.67,0.9495,0.947,45.41952761621309,30.560211211742367,50.08596102219383,30.9513345302327
0.68,0.9965,0.9975,41.06639234685957,30.556477755605613,43.76502889573463,30.66002034968605
0.69,1.0,1.0,37.59314398629353,30.34383013791252,46.61349281612206,30.36481815197481
0.7,1.0,0.9992,37.259029622888384,30.076627369579413,47.15392941947386,30.116303806999046
0.71,1.0,1.0,32.948445911352174,27.35448676251703,44.475343022805525,27.443689955236373
0.72,1.0,1.0,38.474243988173356,26.31606786974683,43.50332752507747,26.38404536940164
0.73,1.0,1.0,42.412177572847995,30.97275635237067,44.880891355501525,31.04544538144255
0.74,0.999,0.9995,38.70908372634621,29.644869181790746,47.351327178829,29.701953550612537
0.75,1.0,1.0,38.74845267065168,28.25268478913057,39.67364606177552,28.432538122961116
0.76,0.9645,0.9873,39.256939721794,29.43932763279056,43.423965354713886,29.548484665882647
0.77,1.0,0.9994,46.4259465087395,36.14346496586179,43.1337998651426,36.34744949681007
0.78,0.999,0.9987,42.63613997226165,28.200409194344605,41.96504827892677,28.225610066196097
0.79,0.999,0.9994,46.94142468634527,38.51165907690674,48.4093461032606,38.53108431866602
0.8,0.997,0.9964,42.87562328399694,27.414004292781012,44.996175537483275,27.478593806635878
0.81,1.0,0.9999,41.645130791341394,31.59101290469624,41.39486680011119,31.721409577053766
0.82,1.0,0.9999,55.28965702872537,35.017270981989554,64.56496554212997,35.00250280316152
0.83,1.0,1.0,46.08898800789667,37.60737916758399,52.67530539093456,37.66304214477232
0.84,1.0,1.0,37.88996128178686,30.87378952817995,41.738338872533724,30.993609501016486
0.85,1.0,1.0,36.54170046278958,27.879812232585156,39.33465099687794,27.907724690745468
0.86,0.975,0.9809,33.853331295259345,27.02446492709738,46.153039208573205,27.135030278612657
0.87,1.0,1.0,38.766245591382265,28.10041886536176,34.10302212878536,28.328850145155023
0.88,1.0,1.0,42.05691540427035,35.52514592977722,45.34173455859798,35.60847739353455
0.89,0.9835,0.9879,41.83641665276235,32.63153288787603,50.93680028108306,32.75520460531081
0.9,1.0,0.9999,42.040149873605614,32.083366653202674,43.59001855928753,32.19236671610686
